"year","month","day","td_ge","dt","luna_num","saros","eclipse_type","gamma","magnitude","lat_ge","lng_ge","lat_dd_ge","lng_dd_ge","sun_alt","sun_azm","path_width","central_duration","duration_secs","cat_no","canon_plate","julian_date","t0","x0","x1","x2","x3","y0","y1","y2","y3","d0","d1","d2","mu0","mu1","mu2","l10","l11","l12","l20","l21","l22","tan_f1","tan_f2","tmin","tmax","etype","PNS","UNS","NCN","nSer","nSeq","nJLE"
1900,5,28,"14:53:56",-2.20000000,-1232,126,"T",.39428000,1.02494000,"44.8N","46.5W",44.83295000,-46.49042000,66.50000000,174.70000000,92.40000000,"02m10s",129.50000000,9281.00000000,465.00000000,2415168.12100000,15.00000000,.02800900,.55281790,-.00000720,-.00000807,.39726300,.03924760,-.00016700,-.00000047,21.45372000,.00663900,-.00000500,45.74476000,15.00016000,.00000000,.54370200,.00011200,-.00001160,-.00242400,.00011140,-.00001150,.00461210,.00458910,-3.00000000,3.00000000,1,0,0,0,72,41,3
1900,11,22,"07:19:43",-1.50000000,-1226,131,"A",-.22450000,.94207000,"33.1S","64.8E",-33.13184000,64.82623000,76.80000000,7.30000000,220.00000000,"06m42s",402.30000000,9282.00000000,465.00000000,2415345.80500000,7.00000000,-.19461600,.51338110,.00003550,-.00000614,-.20337400,-.05978090,.00013640,.00000065,-20.06263900,-.00889900,.00000500,288.46671000,14.99860000,.00000000,.56765600,-.00008260,-.00001030,.02141100,-.00008220,-.00001030,.00473650,.00471290,-3.00000000,3.00000000,2,0,0,0,70,44,4
1901,5,18,"05:33:48",-.90000000,-1220,136,"T",-.36258000,1.06800000,"1.7S","98.4E",-1.69041000,98.41724000,68.70000000,352.70000000,237.80000000,"06m29s",388.70000000,9283.00000000,465.00000000,2415522.73200000,6.00000000,.30007900,.57469280,-.00000440,-.00000960,-.32492200,.07852430,-.00011600,-.00000122,19.40255900,.00913100,-.00000400,270.94751000,15.00116000,.00000000,.53299300,.00003930,-.00001270,-.01307900,.00003920,-.00001260,.00462050,.00459750,-3.00000000,3.00000000,1,0,0,0,71,31,30
1901,11,11,"07:28:21",-.20000000,-1214,141,"A",.47576000,.92155000,"10.8N","68.9E",10.78689000,68.91217000,61.50000000,190.00000000,336.10000000,"11m01s",661.20000000,9284.00000000,465.00000000,2415699.81100000,7.00000000,-.14850100,.49511190,.00002260,-.00000550,.51075400,-.09048110,.00008550,.00000094,-17.25929100,-.01142200,.00000400,288.98886000,15.00016000,.00000000,.57365500,.00001590,-.00000980,.02738000,.00001580,-.00000980,.00472530,.00470170,-3.00000000,3.00000000,2,1,0,0,70,17,20
1902,4,8,"14:05:06",.30000000,-1209,108,"Pe",1.50242000,.06427000,"71.7N","142.4W",71.68475000,-142.42920000,.00000000,67.20000000,.00000000,"00m00s",.00000000,9285.00000000,465.00000000,2415848.08700000,14.00000000,-.48492700,.54487320,.00005190,-.00000863,1.42283700,.16632510,-.00011410,-.00000259,6.98463000,.01522300,-.00000100,29.47647000,15.00428000,.00000000,.53972800,-.00009210,-.00001230,-.00637800,-.00009160,-.00001230,.00466770,.00464450,-3.00000000,3.00000000,4,1,1,1,76,76,1
1902,5,7,"22:34:16",.40000000,-1208,146,"P",-1.08306000,.85934000,"70.0S","125.1W",-69.96257000,-125.11548000,.00000000,327.30000000,.00000000,"00m00s",.00000000,9286.00000000,465.00000000,2415877.44000000,23.00000000,.45370600,.56945730,.00000490,-.00000955,-1.01446900,.11221820,-.00005120,-.00000178,16.75888100,.01127500,-.00000400,165.88881000,15.00217000,.00000000,.53323700,-.00006230,-.00001270,-.01283600,-.00006200,-.00001270,.00463120,.00460820,-3.00000000,3.00000000,4,-1,-1,-1,76,21,10
1902,10,31,"08:00:18",1.10000000,-1202,151,"P",1.15558000,.69599000,"70.8N","100.8E",70.78403000,100.81335000,.00000000,223.30000000,.00000000,"00m00s",.00000000,9287.00000000,465.00000000,2416053.83400000,8.00000000,.26642100,.50419730,-.00000560,-.00000608,1.12445200,-.12062790,.00004020,.00000140,-13.84804000,-.01335600,.00000300,304.06409000,15.00177000,.00000000,.56533800,.00009940,-.00001040,.01910400,.00009890,-.00001030,.00471150,.00468810,-3.00000000,3.00000000,4,1,1,1,72,8,10
1903,3,29,"01:35:23",1.60000000,-1197,118,"A",.84127000,.97668000,"56.2N","130.3E",56.22520000,130.30927000,32.40000000,147.30000000,153.10000000,"01m53s",112.80000000,9288.00000000,465.00000000,2416202.56600000,2.00000000,-.04455500,.51170800,.00002540,-.00000682,.86847200,.16235460,-.00004860,-.00000211,2.86226000,.01588700,-.00000100,208.67836000,15.00443000,.00000000,.55515000,-.00013180,-.00001100,.00896700,-.00013120,-.00001100,.00468300,.00465970,-3.00000000,3.00000000,2,1,0,0,72,62,2
1903,9,21,"04:39:52",2.20000000,-1191,123,"T",-.89675000,1.03156000,"58.0S","77.2E",-57.97918000,77.23401000,25.80000000,35.10000000,240.80000000,"02m12s",131.90000000,9289.00000000,465.00000000,2416378.69400000,5.00000000,-.09374000,.54089650,-.00000920,-.00000851,-.91199300,-.17441710,.00004720,.00000265,1.18256000,-.01577600,-.00000100,256.62091000,15.00497000,.00000000,.53981000,.00008980,-.00001230,-.00629600,.00008930,-.00001220,.00465730,.00463410,-3.00000000,3.00000000,1,-1,0,0,70,47,2
1904,3,17,"05:40:44",2.80000000,-1185,128,"A",.12994000,.93675000,"5.6N","94.7E",5.64868000,94.72028000,82.50000000,162.40000000,237.10000000,"08m07s",487.30000000,9290.00000000,465.00000000,2416556.73700000,6.00000000,.11642400,.48521920,.00000250,-.00000556,.17334700,.15420180,.00000540,-.00000170,-1.49896000,.01608900,.00000000,267.84213000,15.00420000,.00000000,.56930800,-.00007130,-.00001000,.02305500,-.00007090,-.00000990,.00469840,.00467500,-3.00000000,3.00000000,2,0,0,0,73,52,44
